timestamp,target,x,y
1751063929.577686,eyes_left,363,154
1751063929.6461415,eyes_left,361,155
1751063929.6665065,eyes_left,361,155
1751063929.7009678,eyes_left,359,153
1751063929.7216482,eyes_left,359,153
1751063929.7667487,eyes_left,359,149
1751063929.7902331,eyes_left,359,150
1751063929.8317578,eyes_left,359,149
1751063929.8593154,eyes_left,359,149
1751063929.9004605,eyes_left,359,151
1751063929.9311602,eyes_left,359,151
1751063929.963446,eyes_left,360,153
1751063929.9940882,eyes_left,360,153
1751063930.0435588,eyes_left,361,152
1751063930.0663831,eyes_left,361,152
1751063930.10357,eyes_left,362,152
1751063930.1373327,eyes_left,362,152
1751063930.1774845,eyes_left,363,153
1751063930.2184522,eyes_left,363,153
1751063930.248496,eyes_left,364,151
1751063930.2719355,eyes_left,364,151
1751063930.298472,eyes_left,365,150
1751063930.318534,eyes_left,365,150
1751063930.3543663,eyes_left,367,151
1751063930.3761096,eyes_left,366,151
1751063930.4368823,eyes_left,369,152
1751063930.4606516,eyes_left,368,152
1751063930.5012712,eyes_left,369,150
1751063930.524183,eyes_left,370,150
1751063930.5674253,eyes_left,370,149
1751063930.5897958,eyes_left,370,149
1751063930.6372097,eyes_left,371,150
1751063930.6686215,eyes_left,371,150
1751063930.6935906,eyes_left,372,150
1751063930.7171922,eyes_left,372,150
1751063930.7362812,eyes_left,372,150
1751063930.7735732,eyes_left,372,150
1751063930.8363583,eyes_left,372,149
1751063930.8573918,eyes_left,372,149
1751063930.8989382,eyes_left,371,149
1751063930.9200284,eyes_left,371,148
1751063930.9709806,eyes_left,369,150
1751063930.9921384,eyes_left,368,150
1751063931.036128,eyes_left,365,150
1751063931.0597224,eyes_left,365,151
1751063931.0935547,eyes_left,359,149
1751063931.1239774,eyes_left,359,150
1751063931.147314,eyes_left,360,149
1751063931.1735897,eyes_left,354,149
1751063931.2470236,eyes_left,349,151
1751063931.270059,eyes_left,348,151
1751063931.2985477,eyes_left,344,153
1751063931.3185458,eyes_left,344,153
1751063931.365124,eyes_left,339,153
1751063931.386043,eyes_left,340,153
1751063931.4370458,eyes_left,337,152
1751063931.4620836,eyes_left,337,152
1751063931.4947636,eyes_left,335,153
1751063931.5197866,eyes_left,336,153
1751063931.5372987,eyes_left,336,153
